statement_no,debate,night,speaker,speaker_type,timestamp,statement
42,9,1,Buttigieg,candidate,14:37,"But leadership is about what you draw out of people. It’s about how you inspire people to act. And right now we’re in this toxic political environment. Leadership isn’t just about policy. I think, at least in broad terms, we’re largely pulling in the same direction on policy. But leadership is also about how you motivate people to treat other people and I think you have to accept some responsibility and ask yourself what it is about your campaign and in particular that seems to be motivating this behavior more than others? Because in order to turn the page-"
43,9,1,Klobuchar,candidate,15:10,"I have an idea. I have an idea of how we can stop sexism on the internet. We could nominate a woman for candidate for President of the United States. I think that might go a long way, if we showed our stuff as a party. And the other thing I’m going to talk about is really what is at the core of this issue between Senator Sanders and the Culinary Union. And that is this, these are hardworking people. Housekeepers, like Elizabeth and I met with last night, who have healthcare plans that have been negotiated over time, sweat and blood. And that is the truth for so many Americans right now-"
44,9,1,,other,15:47,Senator thank you.
45,9,1,Klobuchar,candidate,15:48,There are 149 million Americans that would lose their current health insurance under Senator Sanders’ bill.
46,9,1,,other,15:55,Senator thank you.
47,9,1,Klobuchar,candidate,15:55,That’s what it says on page eight and I don’t think we should forget that.
48,9,1,,other,15:58,"On that note, I want to turn it over to my colleague Chuck Todd."
49,9,1,Todd,proctor,16:00,"Senator Sanders, I’m going to stay on this topic, on this issue with the Culinary Union. Obviously their leaders are warning their members about that your health care plan will take away their healthcare plan, take away private insurance completely. There are some Democrats who like you a lot, but worry that this plan, Medicare-for-all, is going to take away private insurance and that it goes too far. Are they right?"
50,9,1,Sanders,candidate,16:27,"No. Let me be very clear, two points. For a hundred years, from Teddy Roosevelt to Barack Obama, this country has been talking about the need to guarantee health care for people. And yet today, despite spending twice as much per capita, Chuck, twice as much as any other major country on earth, we got 87 million who are uninsured or under insured. We got over 60,000 people who die every year because they don’t get to a doctor on time. We’re getting ripped off outrageously by the greed and corruption of the pharmaceutical industry, which in some cases charges us 10 times more for the same drugs because of their price fixing. 500,000 people go bankrupt every year because they can’t afford medical bills. So let me be very clear, to my good friends in the Culinary Workers Union, a great union, I will never sign a bill that will reduce the health care benefits they have. We will only expand it, for them, for every union in America and for the working class of this country."
51,9,1,Todd,proctor,17:36,"Senator Warren, you were all in on Medicare-for-all and then you have since came up with a transition plan. Is it because of the impact on unions?"
52,9,1,,other,17:45,"So I want to be clear. I’ve been to the Culinary Unions’ healthcare facilities, they’re terrific. You don’t want to shut them down, you want to expand them. You want to see them all across Nevada and all across this country. But we need to get everybody’s healthcare plan out here. Mayor Buttigieg really has a slogan that was thought up by his consultants, to paper over a thin version of a plan that would leave millions of people unable to afford their healthcare. It’s not a plan, it’s a PowerPoint. And Amy’s plan is even less, it’s like a Post-it Note, insert plan here. Bernie has started very much, has a good start."
53,9,1,,other,18:31,"But instead of expanding and bringing in more people to help, instead his campaign relentlessly attacks everyone who asks a question or tries to fill in details about how to actually make this work. And then his own advisor’s say, “Eh, probably won’t happen anyway.” Look, healthcare is a crisis in this country. My approach to this is we need as much help for as many people as quickly as possible and bring in as many supporters as we can. And if we don’t get it all the first time, take the win and come back into the fight to ask for more."
54,9,1,Todd,proctor,19:12,"I promise guys, I’m going to get everybody in."
55,9,1,,other,19:13,People need our help on this.
56,9,1,Todd,proctor,19:14,"I got you. Mayor Buttigieg, I think she named checked you first. I’ll let you go first."
57,9,1,Sanders,candidate,19:19,She name checked me second.
58,9,1,Todd,proctor,19:23,"Yes. Well, okay. I think Amy’s second."
59,9,1,Buttigieg,candidate,19:25,"I’m more of a Microsoft Word guy. And if you look at my plan, I don’t know if there are any PowerPoints on it, but you can definitely find the document on peteforamerica.com. And you’ll see that it is a plan that solves the problem, makes sure there is no such thing as an uninsured American and does it without kicking anybody off the plan that they have. This idea that the union members don’t know what’s good for them is the exact kind of condescension and arrogance that makes people skeptical of the policies we’ve been putting forward."
60,9,1,Buttigieg,candidate,19:54,"Here we have a plan that the majority of Americans support. Do you realize how historic that is? That the American people are ready in a way, far beyond what was true even 10 years ago and what was available to President Obama at the time. There’s a powerful American majority ready to undertake the biggest, most progressive reform we’ve had in healthcare in 50 years, just so long as we don’t force it on anybody. What is wrong with that?"
61,9,1,,other,20:20,Can I respond to that? [crosstalk 00:20:20]
62,9,1,Todd,proctor,20:20,"Let me get Senator Klobuchar and then I’ll have you respond. All right, Senator Klobuchar."
63,9,1,Sanders,candidate,20:23,[inaudible 00:20:24].
64,9,1,Todd,proctor,20:25,"I think the Post-it Note came first, Senator. [crosstalk 00:20:28]"
65,9,1,Klobuchar,candidate,20:29,"I must say personal offense since post it notes were invented in my state. [crosstalk 00:00:20:38]. Okay. So my plan is a public option and according to all the studies out there, it would reduce premiums for 12 million people immediately. It would expand coverage for about that same number. It is a significant thing, it is what Barack Obama wanted to do from the very beginning. And the way I look at it since we’re in Vegas, when it comes to your plan, Elizabeth and Bernie’s on Medicare-for-all, you don’t put your money on a number that’s not even on the wheel."
66,9,1,Klobuchar,candidate,21:08,"And why is Medicare-for-all not on the wheel? Why is it not on the wheel? Because two thirds of the democratic Senators are not even on that bill, because a bunch of the new House members that got elected see the problems with blowing up the Affordable Care Act. They see it right in front of them. And the truth is that when you see some troubled waters, you don’t blow up a bridge, you build one. And so we need to improve the Affordable Care Act, not blow it up."
67,9,1,Todd,proctor,21:36,"All right, Senator Sanders."
68,9,1,,other,21:36,Can I just respond to these two?
69,9,1,Todd,proctor,21:36,I will. You name checked three of them. Let me get Senator Sanders in there.
70,9,1,Sanders,candidate,21:45,I am also a top-
71,9,1,Todd,proctor,21:45,You were.
72,9,1,,other,21:45,Okay.
73,9,1,Todd,proctor,21:46,"Go ahead, Senator Sanders. We’ll get you in Liz. We got a lot of people in here that got hit. [crosstalk 00:21:50]"
74,9,1,Sanders,candidate,21:49,"It’s my turn, yeah?"
75,9,1,Todd,proctor,21:51,Yes sir.
76,9,1,Sanders,candidate,21:52,"Okay. Somehow or another, Canada can provide universal health care to all their people at half the cost. UK can do it, France can do, Germany did. All…"
77,9,1,Sanders,candidate,22:03,"… half the cost. UK can do it. France can do it. Germany could. All of Europe can do it. Gee whiz. Somehow or another, we are the only major country on earth that can’t do it. Why is that? And I’ll tell you why. It’s because last year the healthcare industry made $100 billion in profits. Pharmaceutical industry, top six companies, $69 billion in profit. And those CEOs are contributing to Pete’s campaign and other campaigns. Up here-"
78,9,1,Todd,proctor,22:34,Let’s clear this up right now.
79,9,1,Sanders,candidate,22:34,"Maybe it is finally time that we said as a nation, “Enough is enough. The function of a rational healthcare system is not to make the pharmaceutical industry and the drug companies rich. It is to provide healthcare to all people as a human right, not a privilege.” No premiums."
80,9,1,Todd,proctor,22:54,"Mr. Vice President, we get it."
81,9,1,Sanders,candidate,22:56,No copayments. No deductibles.
82,9,1,Todd,proctor,22:58,"Go ahead. [crosstalk 00:22:59] Mr. Vice President, center one."
83,9,1,Biden,candidate,23:01,"I’m the only one in this stage that actually got anything done on healthcare. I’m the guy the president turned to and said, “Go get the votes for Obamacare.” And I notice what everybody’s talking about is the plan that I first introduced. That is to go and add to Obamacare, provide a public option, a Medicare like option it cost and increase the subsidies. It costs a lot of money. It cost $750 billion over 10 years, but I pay for it by making sure that Mike and other people pay at the same tax rate their secretary pays at. That’s how we get it paid, number one."
84,9,1,Biden,candidate,23:35,"Number two, you know from the moment we passed that signature legislation, Mike called it a disgrace. Number one. Number two, Trump decided to get rid of it. And number three, my friends here came up with another plan. But they don’t tell you when you ask Bernie how much it costs, the last time he said that, if he goes on your show, he said, “We’ll find out. We’ll find out how,” or something to that effect. It cost over 35 trillion bucks. Let’s get real."
85,9,1,Todd,proctor,24:02,"Senator Warren, you get the final word on this. We’re going to move to another question. Go ahead, Senator Warren."
86,9,1,Sanders,candidate,24:06,And your plan costs $50 trillion.
87,9,1,,other,24:07,So I actually-
88,9,1,,other,24:08,What am I? Chicken liver?
89,9,1,,other,24:09,"So I actually took a look at the plans that are posted. Mayor Buttigieg, there are four expenses that families pay, right? Premiums, deductibles, copays, and uncovered medical expenses. Mayor Buttigieg says he will put a cap only on the premiums."
90,9,1,Buttigieg,candidate,24:26,That’s not true.
91,9,1,,other,24:26,"And that means families are going to pick up the rest of the costs. Amy, I looked online at your plan. It’s two paragraphs. Families are suffering and they need a plan."
92,9,1,Klobuchar,candidate,24:39,"Okay, that’s it."
93,9,1,,other,24:39,"You can’t simply stand here and trash an idea to give healthcare coverage to everyone without having a realistic plan of your own. And if you’re not going to own up to the fact either that you don’t have a plan or that your plan is going to leave people without healthcare coverage, full coverage, then you need to say so. I just want to stay on this [crosstalk 00:25:01] was in Reno when I met a man who said he had diabetes. He gets his insulin through the VA, but his sister and his daughter also have diabetes. No way to pay for their insulin. Three human beings right here in Nevada who are struggling. They share one insulin prescription. This should not happen [crosstalk 00:25:24]"
94,9,1,Todd,proctor,25:23,"Okay. Very quickly. Mayor Bloomberg, is Vice President Biden right and you weren’t a fan of Obamacare?"
95,9,1,,other,25:28,I am a fan of Obamacare. At the beginning –
96,9,1,Biden,candidate,25:30,Since when Mr. Mayor?
97,9,1,,other,25:32,"Mr Vice President, I just checked the record because you’d said one time that I was not. In ’09 I testified and gave a speech before the mayor’s conference in Washington advocating it and trying to get all the mayors to sign on. And I think at that time I wrote an article praising Obamacare. It was either in the New York Post or the Daily News, so the facts are, I was [crosstalk 00:25:56]"
98,9,1,Biden,candidate,25:56,Didn’t you call it [crosstalk 00:25:56]
99,9,1,,other,25:56,"Let me finish. Thank you. I was in favor of it. I thought it didn’t do … go as far as we should. What Trump has done to this is a disgrace. The first thing we’ve got to do is get the White House and bring back those things that will left and then find a ways to expand it. Another public option to having some rules about capping charges. All of those things. We shouldn’t just walk away and start something that is totally new, untried. People [crosstalk 00:26:27]"
100,9,1,Todd,proctor,26:27,"Okay. Vice President Biden, go ahead."
101,9,1,Biden,candidate,26:29,"The mayor said when we passed it, the signature piece of this administration, it’s a disgrace. They’re the exact words. It was a disgrace. Look it up. Check it out. It was a disgrace. [crosstalk 00:26:42] covered by the way, that plan you do not have surprise billing. You bring down drug prices. People are not … Give people all the things we’re just talking about. I guess you’re not got all the time to do it, but if I get a chance to talk [crosstalk 00:26:55]"
102,9,1,Todd,proctor,26:54,"Thank you, sir. Lester."
103,9,1,Holt,proctor,26:55,"All right, Mayor Bloomberg [crosstalk 00:26:59]"
104,9,1,Female,other,26:59,We haven’t responded to [crosstalk 00:26:59] allegation.
105,9,1,Holt,proctor,26:59,"… at the beginning of this debate, you took some incoming fire on this next topic, so let’s get into it. In 2015 this is how you described your policing policy as mayor quote, “We put all the cops in the minority neighborhoods.” And you explain that is quote, “Because that’s where all the crime is.”"
106,9,1,Holt,proctor,27:15,"You went on to say, “And the way you should get the guns out of the kids’ hands is to throw them against the wall and frisk them.” You’ve apologized for that policy, but what does that kind of language say about how you view people of color or people in minority neighborhoods?"
107,9,1,,other,27:29,"Well, if I go back and look at my time in office, the one thing that I’m really worried about, embarrassed about, was how it turned out with Stop and Frisk. When I got into office, there was 650 murders a year in New York City. I thought that my first responsibility was to give people the right to live. That’s the basic right of everything. And we started, we adopted a policy which had been in place. The policy that all big police departments use of stop and frisk."
108,9,1,,other,28:05,"What happened, however was it got out of control. And when we discovered, I discovered, that we were doing many, many, too many stop and frisks, we cut 95% of it out. I’ve sat down with a bunch of African-American clergy and business people to talk about this, to try to learn. I’ve talked to a number of kids who’d been stopped. I was trying to understand how we change our policies so we can keep the city safe because the crime rate did go from 650, 50% down, to 300. And we have to keep lid on crime, but we cannot go out and stop people indiscriminately. That was what was happening."
109,9,1,Holt,proctor,28:49,"Mayor, thank you. Let me go to Vice President Biden with this. You want to respond to that? Put an end to it?"
110,9,1,Biden,candidate,28:53,"Yes. Let’s get something straight. The reason the stop and frisk change is because Barack Obama sent moderators to see what was going on. When we sent them there to say, “This practice has to stop,” the mayor thought it was a terrible idea. We send them there, a terrible idea. Let’s get the facts straight. Let’s get the order straight. And it’s not whether he apologize or not, it’s the policy. The policy was abhorrent and it was, in fact, of violation of every right people have. We are the one, our administration sent in people to monitor it. And the very time the mayor argued against that. This idea that he figured out it was a bad idea. He figured out it was a bad idea after we sent in monitors and said it must stop. Even then he continued the policy."
111,9,1,Holt,proctor,29:44,"All right. Mayor, would you like to make a quick response to that?"
112,9,1,,other,29:45,"Yes, I would. I’ve sat. I’ve apologized. I’ve asked for forgiveness, but the bottom line is that we stopped too many people. We stopped too many people and we’ve got to make sure that we do something about criminal justice in this country. There is no great answer to a lot of these problems. If we took off everybody that was wrong off this panel, everybody that was wrong on criminal justice at some time in their careers, there’d be nobody else up here."
113,9,1,Holt,proctor,30:15,Senator Warren.
114,9,1,Sanders,candidate,30:16,Let’s be clear. I’m sorry. Who did you call on?
115,9,1,Holt,proctor,30:18,Senator Warren.
116,9,1,,other,30:20,"I do think that this really is about leadership and accountability. When the mayor says that he apologized, listen very closely to the apology. The language he used is about stop and frisk. It’s about how it turned out. Now this isn’t about how it turned out. This is about what it was designed to do to begin with. It targeted communities of color, it targeted black and brown men from the beginning. And if you want to issue a real apology, then the apology has to start with the intent of the plan as it was put together and the willful ignorance day by day by day of admitting what was happening. Even as people protested in your own street, shutting out the sounds of people telling you how your own policy was breaking their lives. You need a different apology."
117,9,1,Holt,proctor,31:15,"Senator, thank you. Chuck?"
118,9,1,Sanders,candidate,31:16,Can I respond here?
119,9,1,Todd,proctor,31:19,"Senator Klobuchar, we’re going to stay on this topic, but I want to get something in here with Senator Klobuchar. When you were the top prosecutor in Minneapolis, Senator, there were at least two dozen instances where police were involved in the deaths of civilians. None of those officers were prosecuted. You did prosecute a black teenager who was sentenced to life in prison despite what are now serious doubts about the evidence. Now, the Minneapolis chapter of the NAACP has recently called for you to suspend your campaign over that case because some new evidence has come out since. Big picture. Why should black and Latino voters trust your judgment now if it appears you may have gotten it wrong then?"
120,9,1,Klobuchar,candidate,31:57,"First, I’ll start with that case. It is very clear that any evidence, if there is new evidence, even old evidence, it should be reviewed by that office and by the County attorney. That must happen. I have called for that review. This was a case involving an 11-year-old African-American girl named Tyesha Edwards who was shot doing her homework at her kitchen table. Three people were convicted. One of the cases is the one that is being investigated … was investigated by a journalist. And I think it’s very important that that evidence come forward."
121,9,1,Klobuchar,candidate,32:35,"In terms of the police shootings that you noted, those went to a grand jury, every single one of them. And I made very clear, for months now, that like so many prosecutors, I think those cases, in my time, they were all going to the grand jury. It was thought that was the best way to handle them in many, many jurisdictions."
122,9,1,Moderator,other,32:57,Do you think you should’ve spoke up? You didn’t speak up at the time. Should you?
123,9,1,Klobuchar,candidate,32:57,I actually did speak up on something very similar and that was when our police chief in Minneapolis tried to take the investigations of police shootings into his own hands. I strongly said I disagreed with that. Now I do believe also that a prosecutor should make those decisions herself.
124,9,1,Klobuchar,candidate,33:14,"And the last thing I will say, because you asked the question about voting, I have the support of African-Americans in my community in every election. I had strong support and strong support of leadership. And that’s because I earned it. And this is going to be on me to earn it. You earn it with what you stand for when it comes to equal opportunity. You earn it with the work that I have done, the leadership I’ve shown on voting rights. And yes, you earn it with the work that must be done on criminal justice reform."
125,9,1,Moderator,other,33:42,"Thank you, Senator. Hallie Jackson."
126,9,1,,other,33:43,"I wan to talk about transparency here. [inaudible 00:33:45] many Democrats, including most of you on stage, have criticized president Trump for his lack of transparency. But Senator Sanders, when you are here in Las Vegas in October, you are hospitalized with a heart attack. Afterwards, you pledged to make a quote, “All your medical records public.” You’ve released three letters from your doctors, but you now say you won’t release anything more. What happened to your promise of full transparency?"
127,9,1,Sanders,candidate,34:07,"I think we did. Let me tell you what happened. First of all, you’re right and thank you Las Vegas for the excellent medical care I got in the hospital two days. And I think the one area, maybe that Mayor Bloomberg and I share, you have stents as well."
128,9,1,,other,34:23,25 years ago.
129,9,1,Sanders,candidate,34:25,"Well, we both have two stents. It’s a procedure that is done about a million times a year. So we released the full report of that heart attack. Second of all, we released the full, my whole 29 years in the Capitol, the attending physician, all of my history, medical history. And furthermore, we released reports from two leading Vermont cardiologist who described my situation. And by the way, who said, “Bernie Sanders is more than able to deal with the stress and the vigor of being president of the United States.” Hey, follow me around the campaign trail. Three, four, five events a day. See how you’re doing compared to me."
130,9,1,,other,35:08,"Mayor Buttigieg, you’ve been critical about transparency on this stage and people needing to do better. Is that response from Senator Sanders enough for you?"
131,9,1,Buttigieg,candidate,35:15,"No, it’s not because, first of all, let me say we are all delighted that you are in fighting shape."
132,9,1,Sanders,candidate,35:19,Thank you.
133,9,1,Buttigieg,candidate,35:20,"And at the same time, transparency matters, especially living through the Trump era. Now under president Obama, the standard was that the president would release full medical records. Do a physical and release the readout. I think that’s the standard that we should hold ourselves to as well. Now, President Trump lowered that standard. He said just a letter from a doctor is enough, and a lot of folks on this stage are now saying that’s enough. But I am certainly prepared to get a physical, put out the results. I think everybody here should be willing to do the same. But I’m actually less concerned about the lack of transparency on Sander’s personal health than I am about the lack of transparency on how to pay for his healthcare plan."
134,9,1,Buttigieg,candidate,36:02,"Since he said that it’s impossible to even know how much it’s going to cost. And even after raising taxes on everybody making $29,000, there is still a multi-trillion dollar hole. Matter of fact, if you add up his policies altogether, they come to $50 trillion. He’s only explained $25 trillion worth of revenue, which means that the hole in there is bigger than the size of the entire economy of the United States."
135,9,1,,other,36:27,Mayor Buttigieg-
136,9,1,Buttigieg,candidate,36:27,The time has come to level with the American people on matters personal and on matters of policy.
137,9,1,,other,36:32,"Thank you. Senator Sanders, quickly."
138,9,1,Sanders,candidate,36:34,"Let’s level. Let’s level, Pete. Under your plan, which is a maintenance continuation of the status quo-"
139,9,1,Buttigieg,candidate,36:41,That’s-
